IPV4_SRC_ADDR,IPV4_DST_ADDR,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,FLOW_DURATION_MILLISECONDS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,PREDICAO_CLASSE,GRAU_CONFIANCA,ROTA_SAIDA_EXIT
192.168.0.111,142.251.156.119,42084,443,6,91.126,3487,4174,12,15,306,26,26,26,283,262,64,64,1544,52,52,1544,3487,4174,0,0,0,0,90866,108768,19,2,1,2,2,64240,65535,0,0,0,0,0,0,1781376315182,1781376315489,0,104,25,38,0,74,18,23,0,0.83518064,-1
192.168.0.111,181.213.132.2,24888,53,17,5.0,74,124,1,1,17,0,0,0,0,0,0,0,124,74,74,124,74,124,0,0,0,0,32888,55111,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376315484,1781376315502,0,0,0,0,0,0,0,0,1,0.854684,2
192.168.0.111,181.213.132.2,28585,53,17,5.0,74,90,1,1,23,0,0,0,0,0,0,0,90,74,74,90,74,90,0,0,0,0,24666,30000,2,0,0,0,0,0,0,0,0,0,1,300,0,1781376315484,1781376315508,0,0,0,0,0,0,0,0,1,0.7213138,-1
192.168.0.111,142.251.133.202,46653,443,17,188.126,2661,0,3,0,0,0,0,0,0,0,64,64,1278,105,0,1278,2661,",",0,0,0,0,21288000,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1781376315768,1781376315768,0,0,0,0,0,0,0,0,1,0.8986765,1
192.168.0.111,142.251.156.119,42082,443,6,91.126,9281,47039,33,38,745,26,26,26,706,710,64,64,2852,52,52,2852,9281,47039,0,0,0,0,99528,504439,40,3,3,3,8,64240,65535,0,0,0,0,0,0,1781376315030,1781376315775,0,221,21,46,0,225,18,40,1,0.9469228,2
192.168.0.111,142.251.133.202,52602,443,17,188.126,7545,9810,13,14,275,0,0,0,275,237,64,64,1278,49,49,1278,7545,9810,0,0,0,0,218695,284347,9,2,4,1,11,0,0,0,0,0,0,0,0,1781376315508,1781376315784,0,120,22,36,0,166,18,44,0,0.7434878,-1
192.168.0.111,140.82.112.21,55900,443,6,91.203,13186,7568,20,17,660,26,26,26,511,504,64,64,2900,52,52,2900,13186,7568,0,0,0,0,159588,91594,20,4,1,1,9,64240,65535,0,0,0,0,0,0,1781376315128,1781376315789,0,158,26,54,0,157,31,58,0,0.8231889,-1
192.168.0.111,172.217.28.65,36176,443,17,188.126,19400,1943100,203,1538,711,0,0,0,709,661,64,64,1278,53,53,1278,19400,1943100,0,0,0,0,217977,21832584,201,2,5,27,1506,0,0,0,0,0,0,0,0,1781376315081,1781376315792,0,169,3,13,0,215,0,5,0,0.97039187,1
142.251.133.202,192.168.0.111,443,52602,17,188.0,257,63,3,1,18,0,0,0,18,0,55,55,149,53,53,149,257,63,0,0,0,0,108210,26526,3,1,0,0,0,0,0,0,0,0,0,0,0,1781376315802,1781376315820,18,18,9,9,0,0,0,0,0,0.6568357,-1
172.217.28.65,192.168.0.111,443,36176,17,188.0,582347,3004,460,49,78,0,0,0,78,75,55,55,1278,54,54,1278,582347,3004,0,0,0,0,58971848,304202,50,0,0,14,445,0,0,0,0,0,0,0,0,1781376315792,1781376315871,0,24,0,1,0,17,1,3,1,0.86359674,2
